Age	Running_minutes	height	weight
42	35.613		190.82	67.18
46	42.669		187.35	64.61
43	32.236		182.14	58.44
54	22.886		181.70	59.41
45	36.356		184.24	61.42
38	49.680		188.31	65.08
42	36.863		178.30	59.90
37	38.313		184.52	64.47
47	32.145		186.32	63.49
54	34.854		187.88	67.70
52	26.967		185.85	62.37
47	31.928		186.56	62.93
44	35.472		185.61	62.04
48	34.842		187.72	64.64
44	37.935		183.03	61.96
23	53.799		184.56	62.97
49	26.147		188.59	64.84
41	44.653		186.37	65.87
59	19.374		188.81	68.43
69	12.940		185.14	61.61
